Area,2015-16,2016-17,2017-18,2018-19,2019-20
Surrey Hills (East) - Mont Albert,"28,273","27,245","29,834","30,827","33,044"
Beaumaris,"29,561","29,653","29,525","30,195","33,537"
Brighton (Vic.),"28,767","29,548","29,566","28,662","31,842"
Brighton East,"28,081","28,229","29,671","29,901","32,997"
Cheltenham - Highett (West),"29,298","30,444","33,068","33,570","37,606"
Hampton,"28,291","29,758","30,577","30,728","33,750"
Sandringham - Black Rock,"31,008","30,636","32,400","30,586","34,178"
Bentleigh - McKinnon,"27,466","28,239","29,109","28,625","32,632"
Carnegie,"25,705","25,583","26,089","26,312","29,337"
Caulfield - North,"21,260","21,369","21,120","21,233","24,139"
Caulfield - South,"24,732","24,160","24,826","25,111","27,663"
Elsternwick,"27,777","27,459","28,175","29,524","31,776"
Hughesdale,"29,363","27,403","26,750","27,638","30,600"
Murrumbeena,"26,469","26,898","28,000","27,694","31,545"
Ormond - Glen Huntly,"25,020","24,707","24,800","24,301","28,094"
Bentleigh East (North),"29,370","29,441","30,754","31,308","35,307"
Bentleigh East (South),"30,310","30,902","31,507","32,835","35,570"
Aspendale Gardens - Waterways,"29,383","30,000","30,658","32,209","34,285"
Braeside,"20,000","17,734","25,695","26,696","38,487"
Carrum - Patterson Lakes,"31,450","30,312","32,500","33,126","35,855"
Chelsea - Bonbeach,"32,000","32,969","34,107","33,872","36,470"
Chelsea Heights,"32,151","33,175","34,087","35,037","37,306"
Cheltenham - Highett (East),"28,318","28,971","30,305","31,674","34,627"
Edithvale - Aspendale,"29,737","31,915","32,400","33,024","36,904"
Mentone,"29,438","29,124","30,694","32,930","35,406"
Moorabbin - Heatherton,"28,170","28,568","30,000","31,720","35,238"
Moorabbin Airport,np,"84,665","52,797","51,163","47,000"
Mordialloc - Parkdale,"31,189","32,558","32,935","33,868","37,279"
Malvern - Glen Iris,"28,883","28,854","28,760","30,497","33,549"
Malvern East,"25,961","25,636","26,307","25,957","28,608"
Bundoora - East,"24,870","24,529","25,877","26,254","28,502"
Greensborough,"31,049","31,719","32,779","33,726","36,984"
Heidelberg - Rosanna,"28,516","28,752","31,554","32,981","36,985"
Heidelberg West,"22,091","22,313","23,630","24,066","26,080"
Ivanhoe,"29,460","29,003","30,181","31,841","35,014"
Ivanhoe East - Eaglemont,"28,034","28,527","30,699","31,216","35,239"
Montmorency - Briar Hill,"30,176","31,356","32,532","33,454","37,575"
Viewbank - Yallambie,"32,015","30,939","33,465","33,916","36,755"
Watsonia,"31,945","33,049","31,738","33,161","37,747"
Kingsbury,"19,290","18,488","19,394","18,655","19,999"
Reservoir - East,"22,187","21,829","21,881","23,361","25,164"
Reservoir - West,"23,673","23,621","24,669","25,263","27,384"
Preston - East,"22,674","22,780","23,361","24,205","28,287"
Preston - West,"24,568","24,153","24,679","25,736","28,531"
Eltham,"28,489","29,275","30,989","31,623","35,276"
Hurstbridge,"25,943","26,016","28,293","30,460","30,547"
Kinglake,"23,351","24,221","26,473","26,076","28,748"
Panton Hill - St Andrews,"22,264","23,134","24,182","24,392","26,272"
Plenty - Yarrambat,"29,061","29,693","31,067","30,707","34,083"
Research - North Warrandyte,"27,503","28,385","28,765","30,324","31,769"
Wattle Glen - Diamond Creek,"30,663","30,643","31,526","32,604","34,423"
Bundoora - North,"26,517","23,263","24,308","25,474","26,334"
Bundoora - West,"24,116","22,716","24,010","24,626","24,870"
Lalor,"23,074","23,800","23,532","24,493","25,637"
Mill Park - North,"27,740","27,721","28,076","29,608","31,156"
Mill Park - South,"27,260","28,697","28,233","28,926","31,234"
Thomastown,"22,404","21,726","21,983","23,045","23,896"
Wallan,"29,693","29,090","31,563","32,822","35,750"
Whittlesea,"25,848","28,647","29,231","30,000","31,828"
Doreen,"31,477","31,155","32,286","33,679","36,007"
Epping - East,"26,229","25,485","26,333","28,153","30,770"
Epping - South,"24,304","22,972","24,068","24,619","26,422"
Epping - West,"27,384","28,052","26,978","28,008","30,014"
Mernda,"30,948","29,948","30,096","31,978","33,001"
South Morang (North),"31,015","31,015","30,531","32,011","35,013"
South Morang (South),"29,708","29,129","29,683","29,640","31,339"
Wollert,"28,844","27,135","28,045","27,110","29,155"
Airport West,"32,639","31,080","34,232","35,024","35,840"
Essendon Airport,np,"48,406","32,483","23,398","23,976"
Keilor,"28,421","28,430","28,996","30,684","33,270"
Keilor East,"29,263","29,192","30,470","31,262","35,172"
Niddrie - Essendon West,"30,441","30,002","31,047","32,013","34,447"
Strathmore,"28,645","30,583","31,527","30,170","32,778"
Gisborne,"28,200","30,024","31,353","32,358","34,447"
Macedon,"27,949","27,371","30,054","28,961","31,360"
Riddells Creek,"29,723","29,936","31,626","31,140","34,600"
