 Area,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Total
Roxburgh Park - Somerton,0,0,1,0.1,0.7,0.5,1.5,1.1,0.7,0.1,0.6,0.2,0.7,1.8,0.8,0.9,1.4,0.1,0.3,12.9
Tullamarine,0, np ,0.3,0,0.3,0.2,0.4,0.4,0.4,0.1,0.2,0.1,0.3,0.6,0.3,0.3,0.4,0.1,0.2,4.5
Craigieburn - Central,0,0,0.6,0,0.3,0.3,0.6,0.4,0.4,0,0.3,0.1,0.2,0.8,0.3,0.3,0.6,0.1,0.2,5.6
Craigieburn - North,0,0,0.7,0.1,0.5,0.4,0.9,0.6,0.5,0.1,0.4,0.1,0.4,1.2,0.5,0.4,1.1,0.1,0.2,8.6
Craigieburn - South,0,0,1.1,0.1,0.8,0.6,1.4,1.1,0.8,0.2,0.6,0.2,0.7,1.7,0.7,0.6,1.6,0.2,0.4,13.2
Craigieburn - West,0,0,1,0.1,0.6,0.5,1.3,1.2,0.8,0.2,0.6,0.2,0.8,1.8,0.7,0.6,1.8,0.1,0.4,12.9
Mickleham - Yuroke,0,0,1,0.1,0.8,0.5,1.1,0.8,1,0.1,0.5,0.2,0.6,1.6,0.6,0.5,1.7,0.1,0.4,11.9
Bayswater,0,0,0.8,0.1,0.7,0.6,0.9,0.6,0.2,0.1,0.4,0.2,0.6,0.9,0.4,0.6,1.3,0.2,0.4,9.3
Knoxfield - Scoresby,0,0,1,0.1,0.7,0.9,1.2,0.8,0.3,0.2,0.6,0.2,1,1.1,0.5,0.9,1.5,0.2,0.4,12
Lysterfield,0,0,0.4,0.1,0.5,0.4,0.7,0.3,0.1,0.1,0.2,0.1,0.4,0.4,0.2,0.4,0.5,0.1,0.2,5.2
Rowville - Central,0,0,0.9,0.1,0.8,0.9,1.5,0.6,0.3,0.2,0.6,0.2,0.9,1,0.5,0.9,1.4,0.2,0.4,11.7
Rowville - North,0,0,0.5,0,0.4,0.5,0.7,0.4,0.2,0.1,0.3,0.1,0.5,0.4,0.3,0.5,0.6,0.1,0.2,5.9
Rowville - South,0,0,0.7,0.1,0.6,0.6,1.1,0.6,0.2,0.1,0.4,0.1,0.6,0.7,0.3,0.7,0.9,0.2,0.3,8.2
Wantirna,0,0,0.7,0.1,0.5,0.6,1.1,0.6,0.2,0.2,0.5,0.2,0.9,0.8,0.4,0.9,1.4,0.2,0.4,10
Wantirna South,0,0,0.9,0.1,0.6,0.8,1.4,0.9,0.3,0.3,0.8,0.3,1.1,1.1,0.5,1.2,1.7,0.3,0.4,13
Boronia,0.1,0,1.4,0.1,1.2,1,1.8,0.9,0.4,0.3,0.8,0.3,1.3,1.6,0.8,1.3,2.1,0.3,0.6,16.6
Ferntree Gully (North),0.1,0,0.7,0.1,0.8,0.6,1.2,0.6,0.3,0.1,0.4,0.2,0.7,0.9,0.5,0.8,1.3,0.2,0.4,10
Ferntree Gully (South) - Upper Ferntree Gully,0,0,0.9,0.1,0.9,0.8,1.2,0.7,0.3,0.2,0.5,0.2,0.8,1.1,0.5,0.9,1.3,0.2,0.4,11.5
The Basin,0,0,0.3,0,0.3,0.2,0.3,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.4,0.1,0.2,3.2
Donvale - Park Orchards,0,0,0.5,0.1,0.8,0.6,1.3,0.7,0.2,0.2,0.7,0.2,1.2,0.8,0.5,1.1,1.4,0.3,0.4,11.3
Warrandyte - Wonga Park,0,0,0.4,0,0.7,0.3,0.9,0.4,0.1,0.1,0.4,0.1,0.7,0.4,0.3,0.8,0.9,0.2,0.2,7.4
Bayswater North,0,0,0.8,0.1,0.8,0.5,1,0.5,0.2,0.1,0.3,0.1,0.6,0.8,0.4,0.6,1.2,0.2,0.3,8.9
