 Area,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Total
Alfredton,0.1,0.1,0.7,0.1,0.7,0.3,1.2,1,0.3,0.2,0.4,0.2,0.6,0.6,0.7,1.2,1.9,0.2,0.2,10.8
Ballarat,0.1,0,0.4,0.1,0.4,0.2,0.8,0.9,0.2,0.1,0.3,0.1,0.6,0.6,0.6,1.3,1.7,0.2,0.2,9.1
Ballarat - North,0.2,0.1,1,0.1,1.1,0.4,1.7,1.4,0.4,0.3,0.5,0.2,0.9,1.1,1.1,2.2,2.8,0.4,0.4,16.8
Ballarat - South,0.2,0.1,1,0.1,1.1,0.4,2,1.7,0.4,0.2,0.5,0.2,0.9,1.3,1,1.6,2.8,0.4,0.5,16.7
Buninyong,0.1,0,0.3,0,0.3,0.1,0.5,0.4,0.1,0.1,0.2,0.1,0.4,0.3,0.3,0.8,0.8,0.1,0.1,5
Delacombe,0.1,0.1,0.5,0.1,0.5,0.2,0.8,0.5,0.2,0.1,0.2,0.1,0.3,0.5,0.4,0.5,1.1,0.1,0.2,6.6
Smythes Creek,0.1,0,0.3,0,0.3,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.2,0.3,0.5,0.1,0.1,3
Wendouree - Miners Rest,0.2,0,0.8,0.1,0.7,0.3,1.1,0.8,0.4,0.1,0.3,0.1,0.4,0.7,0.6,0.7,1.4,0.3,0.3,9.4
Bacchus Marsh Region,0.1,0,0.2,0,0.5,0.2,0.3,0.3,0.3,0,0.2,0.1,0.2,0.3,0.4,0.3,0.5,0.1,0.2,4.4
Creswick - Clunes,0.3,0,0.3,0,0.3,0.2,0.4,0.4,0.2,0.1,0.2,0.1,0.2,0.3,0.3,0.5,0.8,0.2,0.2,5
Daylesford,0.2,0,0.3,0,0.3,0.2,0.5,0.9,0.2,0.1,0.2,0.1,0.3,0.4,0.5,0.6,0.8,0.1,0.1,5.9
Gordon (Vic.),0.3,0,0.2,0,0.4,0.1,0.3,0.2,0.2,0,0.1,0.1,0.3,0.3,0.3,0.4,0.5,0.1,0.1,4.2
Avoca,0.3,0,0.2,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0.1,0.2,0.1,0.3,0,0,1.9
Beaufort,0.3,0,0.2,0,0.2,0.1,0.2,0.2,0.1,0,0.1,0,0.1,0.2,0.2,0.2,0.3,0.1,0.1,2.7
Golden Plains - North,0.2,0,0.2,0,0.3,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.2,0.2,0.4,0.1,0.1,3.1
Maryborough (Vic.),0.1,0,0.6,0,0.2,0.1,0.5,0.3,0.2,0,0.1,0,0.1,0.2,0.3,0.4,0.6,0.1,0.1,4
Maryborough Region,0.3,0,0.3,0,0.1,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.2,0.2,0.4,0.1,0.1,2.8
Bendigo,0.1,0.1,0.9,0.1,0.5,0.2,1,1.1,0.3,0.1,0.4,0.1,0.4,0.9,0.6,0.9,2,0.2,0.3,10.2
California Gully - Eaglehawk,0.1,0.1,0.9,0.1,0.6,0.2,0.8,0.7,0.3,0.1,0.3,0.1,0.2,0.7,0.4,0.6,1.4,0.2,0.3,8.2
East Bendigo - Kennington,0.1,0.1,0.6,0.1,0.5,0.2,0.9,0.9,0.2,0.1,0.5,0.1,0.4,0.6,0.6,1,1.6,0.2,0.2,9.4
Flora Hill - Spring Gully,0.1,0.1,0.4,0.1,0.4,0.1,0.7,0.7,0.1,0.1,0.3,0.1,0.3,0.5,0.5,0.8,1.2,0.2,0.2,6.8
Kangaroo Flat - Golden Square,0.2,0.2,1.5,0.1,0.9,0.3,1.5,1.1,0.4,0.1,0.6,0.1,0.5,1.1,0.8,1,2,0.2,0.4,13.4
Maiden Gully,0.1,0.1,0.3,0,0.3,0.1,0.5,0.3,0.1,0,0.2,0,0.2,0.3,0.3,0.4,0.6,0.1,0.1,4
Strathfieldsaye,0.1,0.1,0.4,0.1,0.5,0.2,0.7,0.6,0.2,0.1,0.5,0.1,0.3,0.4,0.5,0.9,1.2,0.2,0.2,7.2
White Hills - Ascot,0.2,0.3,0.9,0.1,0.7,0.3,1,0.9,0.3,0.1,0.4,0.1,0.3,0.7,0.5,0.7,1.6,0.2,0.3,9.8
Bendigo Region - South,0.2,0.1,0.5,0.1,0.5,0.1,0.6,0.4,0.2,0,0.2,0.1,0.2,0.4,0.4,0.5,0.8,0.1,0.2,5.7
Castlemaine,0.1,0,0.7,0,0.2,0.1,0.6,0.5,0.2,0.1,0.2,0.1,0.3,0.4,0.5,0.8,1,0.2,0.2,6.4
Castlemaine Region,0.3,0.1,0.5,0,0.3,0.1,0.5,0.3,0.2,0.1,0.2,0.1,0.3,0.3,0.4,0.5,0.9,0.1,0.2,5.5
Heathcote,0.1,0.1,0.2,0,0.2,0.1,0.3,0.1,0.1,0,0.1,0,0.1,0.2,0.2,0.2,0.4,0,0.1,2.7
Kyneton,0.2,0,0.4,0,0.4,0.2,0.6,0.5,0.3,0.1,0.3,0.1,0.4,0.8,0.5,0.7,0.9,0.2,0.2,7
Woodend,0.1,0,0.3,0.1,0.3,0.2,0.4,0.3,0.2,0.1,0.2,0.1,0.5,0.3,0.4,0.6,0.7,0.1,0.1,5.1
Bendigo Region - North,0.2,0.1,0.3,0,0.2,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.1,0.2,0.4,0.1,0.1,3
Loddon,0.6,0,0.4,0,0.2,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.3,0.3,0.5,0.1,0.1,3.8
Bannockburn,0.1,0,0.3,0.1,0.5,0.2,0.6,0.3,0.2,0,0.2,0.1,0.3,0.4,0.3,0.4,0.7,0.1,0.2,5.2
Golden Plains - South,0.4,0,0.3,0.1,0.5,0.3,0.4,0.3,0.2,0,0.2,0.1,0.3,0.4,0.4,0.4,0.7,0.1,0.2,5.5
Winchelsea,0.3,0,0.2,0,0.4,0.2,0.4,0.4,0.2,0,0.1,0.1,0.3,0.3,0.2,0.4,0.5,0.1,0.1,4.4
Belmont,0.1,0,0.5,0.1,0.7,0.3,1.2,1.1,0.3,0.1,0.5,0.2,0.6,1.1,0.6,1.3,1.6,0.3,0.4,11
Corio - Norlane,0.2,0.1,1.5,0.2,1.2,0.7,2,1.4,0.9,0.1,0.7,0.2,0.5,2.1,0.8,0.8,2,0.2,0.6,16.3
Geelong,0.1,0,0.5,0.1,0.6,0.3,1.1,1.2,0.2,0.1,0.5,0.2,0.7,1,0.6,1,1.8,0.2,0.3,10.8
Geelong West - Hamlyn Heights,0.1,0,0.8,0.2,1.1,0.5,1.6,1.5,0.5,0.2,0.8,0.3,1,1.5,1,1.8,2.4,0.3,0.5,16.3
Grovedale,0.1,0.1,1.1,0.2,1.8,0.7,2.8,2.2,0.6,0.2,1,0.4,1.1,2.2,1.3,2.4,4,0.5,0.7,23.9
Highton,0.1,0.1,0.7,0.1,1,0.6,1.9,1.5,0.3,0.2,0.8,0.3,1.2,1.5,0.9,2.5,2.5,0.4,0.4,17.3
Lara,0.2,0.1,0.9,0.2,1.1,0.6,1.4,0.9,0.8,0.1,0.7,0.3,0.8,1.3,1,1,1.6,0.2,0.4,13.8
Leopold,0.1,0,0.5,0.1,0.7,0.4,1.1,0.7,0.3,0.1,0.5,0.1,0.4,0.7,0.6,0.7,1.5,0.2,0.3,9
Newcomb - Moolap,0.1,0,0.7,0.1,0.8,0.3,1.2,0.9,0.4,0.1,0.4,0.1,0.4,1.1,0.6,0.6,1.6,0.2,0.4,10.3
Newtown (Vic.),0.1,0,0.3,0.1,0.4,0.2,0.8,0.7,0.2,0.1,0.4,0.1,0.6,0.6,0.4,1.1,1.3,0.2,0.2,8
North Geelong - Bell Park,0.1,0,0.7,0.1,0.8,0.4,1.2,1,0.4,0.1,0.5,0.2,0.6,1.2,0.6,0.8,1.5,0.2,0.3,10.8
Clifton Springs,0.1,0,0.6,0.1,0.9,0.3,1.2,1,0.4,0.1,0.5,0.2,0.5,0.9,0.7,0.8,1.6,0.2,0.3,10.5
Lorne - Anglesea,0.1,0,0.1,0,0.2,0.1,0.4,0.7,0.1,0,0.1,0.1,0.2,0.3,0.2,0.5,0.4,0.1,0.1,3.8
Ocean Grove - Barwon Heads,0.2,0.1,0.8,0.1,1.5,0.5,2,2,0.5,0.2,0.9,0.3,1.2,1.4,1.4,2.5,3.1,0.5,0.5,20.2
Portarlington,0.1,0,0.2,0,0.4,0.2,0.4,0.4,0.2,0,0.3,0.1,0.2,0.4,0.3,0.4,0.6,0.1,0.2,4.7
Point Lonsdale - Queenscliff,0,0,0.1,0,0.2,0,0.2,0.3,0.1,0,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.1,0.1,2.8
Torquay,0.1,0,0.6,0.1,1.3,0.7,1.6,1.6,0.3,0.2,0.7,0.3,1,1,1.1,2,2.1,0.4,0.5,16.2
Alexandra,0.2,0,0.2,0,0.3,0.1,0.4,0.5,0.1,0,0.1,0.1,0.1,0.2,0.3,0.5,0.5,0.1,0.1,4.1
Euroa,0.6,0,0.2,0,0.2,0.1,0.3,0.3,0.2,0,0.1,0,0.2,0.3,0.3,0.3,0.5,0.1,0.1,4
Kilmore - Broadford,0.1,0.1,0.9,0.1,1.2,0.4,0.9,0.7,0.5,0.1,0.4,0.2,0.5,0.8,0.8,0.7,1.2,0.1,0.3,10.1
Mansfield (Vic.),0.4,0.1,0.2,0,0.4,0.2,0.7,0.7,0.4,0,0.2,0.2,0.2,0.4,0.3,0.6,0.6,0.2,0.2,6.4
Nagambie,0.3,0,0.3,0,0.2,0.1,0.2,0.2,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.1,0,2.9
Seymour,0.2,0,0.3,0.1,0.3,0.2,0.4,0.4,0.2,0,0.1,0.1,0.1,0.3,0.4,0.3,0.5,0.1,0.1,4.1
Seymour Region,0.2,0,0.2,0,0.2,0.1,0.2,0.2,0.1,0,0.1,0,0.1,0.2,0.6,0.2,0.3,0,0.1,2.9
Upper Yarra Valley,0,0,0,0,0,0,0,0, np , np ,0, np ,0,0,0,0,0,0,0,0.1
Yea,0.1,0,0.1,0,0.2,0.1,0.2,0.2,0.1,0,0.1,0,0.1,0.1,0.2,0.2,0.3,0,0.1,2.2
Benalla,0.2,0.2,0.7,0.1,0.5,0.2,0.6,0.6,0.2,0,0.2,0.1,0.2,0.4,0.5,0.5,1.1,0.1,0.2,6.6
Benalla Region,0.2,0.1,0.2,0,0.1,0.1,0.2,0.1,0.1,0,0.1,0,0.1,0.1,0.2,0.2,0.3,0.1,0.1,2.4
Rutherglen,0.2,0,0.5,0,0.1,0.1,0.3,0.3,0.2,0,0.1,0,0.1,0.1,0.2,0.2,0.3,0,0.1,2.7
Wangaratta,0.3,0.1,1.1,0.1,0.8,0.4,1.5,1.3,0.5,0.1,0.4,0.2,0.4,0.9,0.8,1.2,2.3,0.3,0.4,13.2
Wangaratta Region,0.6,0.1,0.7,0,0.5,0.2,0.5,0.5,0.3,0,0.2,0.1,0.3,0.4,0.5,0.6,1,0.1,0.2,6.9
Beechworth,0.1,0,0.2,0,0.1,0.1,0.3,0.3,0.1,0,0.1,0,0.1,0.2,0.3,0.4,0.6,0.1,0.1,3.3
Bright - Mount Beauty,0.3,0,0.2,0.1,0.4,0.1,0.4,1.1,0.4,0,0.2,0.2,0.3,0.3,0.3,0.6,0.6,0.3,0.1,6.2
Chiltern - Indigo Valley,0.1,0,0.3,0,0.1,0.1,0.2,0.2,0.1,0,0.1,0,0.1,0.1,0.2,0.2,0.3,0,0.1,2.3
Myrtleford,0.4,0,0.4,0,0.2,0.1,0.4,0.4,0.2,0,0.1,0.1,0.1,0.1,0.2,0.2,0.5,0.1,0.1,3.6
Towong,0.4,0,0.2,0.1,0.3,0.1,0.3,0.2,0.2,0,0.1,0,0.2,0.2,0.3,0.4,0.6,0.1,0.1,3.8
West Wodonga,0.1,0,0.9,0.1,0.7,0.4,1.3,1,0.5,0.1,0.4,0.1,0.4,0.7,0.9,0.9,1.6,0.1,0.3,10.8
Wodonga,0.3,0.1,1.5,0.2,1.3,0.6,2.2,1.6,0.8,0.1,0.8,0.2,0.8,1.2,1.9,1.7,2.8,0.3,0.6,19.2
Yackandandah,0.1,0,0.3,0,0.3,0.1,0.3,0.3,0.1,0,0.1,0,0.2,0.2,0.3,0.4,0.5,0.1,0.1,3.5
Drouin,0.4,0.1,0.9,0.1,1.2,0.5,1.1,0.8,0.4,0.1,0.5,0.2,0.5,0.8,0.6,1.1,1.6,0.3,0.5,11.9
Mount Baw Baw Region,0.3,0.1,0.3,0.1,0.3,0.1,0.3,0.3,0.1,0,0.2,0.1,0.2,0.2,0.3,0.4,0.5,0.1,0.1,4.1
Trafalgar (Vic.),0.3,0.1,0.3,0.1,0.5,0.2,0.4,0.3,0.2,0,0.2,0.1,0.3,0.4,0.3,0.5,0.7,0.1,0.2,5.3
Warragul,0.7,0.1,1,0.2,1.3,0.6,1.3,1,0.4,0.2,0.6,0.2,0.7,0.8,0.8,1.6,2.1,0.3,0.6,14.8
Alps - East, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np 
Bairnsdale,0.3,0,0.8,0.1,0.6,0.3,1.3,0.7,0.3,0.1,0.3,0.2,0.3,0.6,0.5,0.8,1.5,0.1,0.4,9.5
Bruthen - Omeo,0.6,0.1,0.4,0.1,0.4,0.2,0.5,0.3,0.2,0,0.1,0.1,0.2,0.4,0.4,0.4,0.7,0.1,0.1,5.5
Lake King, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np 
Lakes Entrance,0.3,0,0.3,0.1,0.4,0.1,0.6,0.9,0.2,0,0.2,0.1,0.2,0.3,0.4,0.5,1,0.1,0.2,6
Orbost,0.4,0,0.2,0,0.2,0.1,0.3,0.4,0.2,0,0.1,0,0.1,0.2,0.3,0.4,0.6,0.1,0.1,3.8
Paynesville,0.1,0,0.2,0,0.2,0.1,0.4,0.3,0.1,0,0.1,0.1,0.2,0.2,0.2,0.4,0.6,0.1,0.1,3.6
Foster,0.6,0,0.2,0.1,0.3,0.2,0.4,0.4,0.2,0,0.2,0.1,0.2,0.3,0.2,0.5,0.6,0.1,0.1,4.9
French Island, np , np , np , np , np , np ,0, np ,0, np , np , np ,0, np , np , np ,0, np , np ,0
Korumburra,0.3,0,0.7,0,0.4,0.3,0.5,0.4,0.2,0,0.2,0.1,0.3,0.4,0.3,0.5,0.8,0.1,0.2,6
Leongatha,0.3,0.1,0.4,0.1,0.5,0.3,0.6,0.5,0.2,0.1,0.3,0.1,0.3,0.5,0.4,0.7,1,0.1,0.2,6.8
Phillip Island,0.1,0,0.2,0.1,0.5,0.2,0.7,1.3,0.3,0.1,0.3,0.3,0.3,0.4,0.3,0.7,0.8,0.5,0.2,7.4
Wilsons Promontory, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np ,0, np ,0
Wonthaggi - Inverloch,0.3,0.1,0.7,0.3,1.1,0.5,1.6,1.3,0.4,0.1,0.5,0.3,0.6,0.8,0.7,1.3,2.2,0.4,0.5,14.1
Churchill,0.2,0.1,0.5,0.3,0.6,0.1,0.7,0.5,0.2,0.1,0.3,0.1,0.4,0.6,0.6,0.8,1.1,0.1,0.2,7.7
Moe - Newborough,0.3,0.1,0.7,0.3,0.9,0.2,1,0.6,0.3,0.1,0.5,0.1,0.4,1,0.7,0.7,1.5,0.1,0.3,10.2
Morwell,0.1,0.1,0.5,0.2,0.5,0.2,0.9,0.7,0.2,0.1,0.4,0.1,0.3,0.8,0.5,0.4,1.1,0.1,0.3,7.7
Traralgon,0.3,0.3,1.4,0.6,1.7,0.4,2,1.3,0.4,0.2,0.8,0.4,1,1.4,1.7,1.5,3,0.3,0.6,19.8
Yallourn North - Glengarry,0.2,0.1,0.3,0.1,0.3,0.1,0.3,0.2,0.1,0,0.1,0.1,0.1,0.3,0.3,0.2,0.5,0,0.1,3.4
Alps - West, np , np , np , np , np , np , np , np , np , np , np , np , np ,0, np , np , np , np , np ,0
Longford - Loch Sport,0.2,0.1,0.1,0,0.2,0.1,0.2,0.2,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0,0.1,2.6
Maffra,0.8,0.2,0.7,0.2,0.8,0.2,0.9,0.6,0.3,0,0.3,0.2,0.4,0.7,0.5,0.9,1.2,0.2,0.2,9.5
Rosedale,0.4,0.1,0.2,0,0.2,0.1,0.2,0.2,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0,0.1,2.7
Sale,0.4,0.3,0.5,0.1,0.6,0.1,1.1,0.9,0.2,0.1,0.3,0.2,0.4,0.8,0.9,1,1.4,0.1,0.2,9.8
Yarram,0.4,0.1,0.2,0,0.2,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.1,0.3,0.4,0,0.1,3.1
Brunswick,0.2,0,0.8,0.2,0.8,0.7,2,3.2,0.4,1,1.2,0.4,3.3,3,1.6,3.6,3,0.9,0.9,27.5
Brunswick East,0.1,0,0.4,0.1,0.3,0.4,0.9,1.5,0.2,0.5,0.6,0.2,1.7,1.3,0.8,1.7,1.4,0.4,0.4,13.1
Brunswick West,0.1,0,0.4,0.1,0.4,0.4,1.1,1.3,0.3,0.4,0.6,0.2,1.4,1.5,0.7,1.8,1.7,0.4,0.4,13.5
Coburg,0.1,0,0.8,0.1,0.9,0.7,1.9,2.2,0.5,0.7,1,0.3,2.3,2.3,1.4,2.9,2.7,0.6,0.7,22.7
Pascoe Vale South,0,0,0.3,0,0.4,0.3,0.8,0.6,0.3,0.2,0.5,0.1,0.8,0.7,0.5,0.9,0.9,0.3,0.2,8.1
Alphington - Fairfield,0,0,0.3,0.1,0.3,0.3,0.5,0.6,0.1,0.2,0.4,0.1,0.9,0.7,0.5,1,1.1,0.3,0.2,7.8
Northcote,0.1,0,0.7,0.2,0.7,0.6,1.5,1.7,0.3,0.8,1,0.3,2.9,2,1.6,3.1,3.1,0.7,0.7,22.4
Thornbury,0.1,0,0.6,0.1,0.6,0.5,1.3,1.4,0.4,0.6,0.7,0.3,1.8,1.6,1,2.1,2.2,0.5,0.5,16.4
Ascot Vale,0.1,0,0.5,0.1,0.5,0.4,1,1.1,0.4,0.3,0.7,0.2,1.4,1.4,0.8,1.3,1.5,0.5,0.4,12.7
Essendon - Aberfeldie,0.1,0,0.9,0.1,1.2,0.9,2.2,2,0.9,0.5,1.4,0.5,2.6,2.3,1.5,2.2,2.6,0.9,0.6,24
Flemington,0.1,0,0.2,0.1,0.2,0.2,0.6,1,0.2,0.2,0.4,0.1,1.1,1.2,0.5,0.9,1,0.3,0.2,8.8
Moonee Ponds,0.1,0,0.4,0.1,0.6,0.4,1.2,1.2,0.4,0.3,0.8,0.3,1.6,1.3,0.9,1.3,1.5,0.4,0.4,13.5
Carlton,0.1,0,0.3,0.1,0.3,0.3,1,2.6,0.2,0.4,0.5,0.3,1.9,1.7,0.5,1.9,1.4,0.3,0.4,14.4
Docklands,0.2,0,0.4,0.1,0.4,0.6,0.9,2.4,0.3,0.4,1.2,0.3,3.8,1.9,0.4,0.6,0.7,0.2,0.3,15.6
East Melbourne,0.1,0,0.1,0,0.1,0.1,0.3,0.4,0.1,0.1,0.3,0.1,0.8,0.5,0.3,0.5,0.6,0.1,0.1,4.7
Flemington Racecourse, np , np ,0, np , np , np ,0,0, np , np ,0,0,0,0,0,0,0,0, np ,0.1
Kensington (Vic.),0.1,0,0.3,0.1,0.3,0.3,0.7,1,0.2,0.3,0.6,0.1,1.4,1.1,0.6,1.2,1.2,0.4,0.3,10.4
Melbourne,1.2,0.1,0.9,0.2,0.8,1.2,3.2,13.7,0.6,0.8,1.9,1,5.9,5.9,0.7,2.3,1.9,0.8,1.2,45.2
North Melbourne,0.3,0,0.5,0.2,0.5,0.6,1.6,3.7,0.4,0.6,1,0.3,3.1,2.9,0.9,2.2,2.3,0.5,0.6,22.6
Parkville,0,0,0.1,0,0.1,0.1,0.4,0.8,0.1,0.1,0.3,0.1,0.7,0.6,0.3,1.1,0.7,0.2,0.2,6.1
South Yarra - West,0.1,0,0.2,0,0.2,0.2,0.4,0.7,0.1,0.4,0.5,0.2,1,0.7,0.3,0.5,0.7,0.2,0.1,6.6
Southbank,0.3,0.1,0.6,0.2,0.6,0.8,1.6,4.3,0.4,0.6,1.5,0.5,3.8,3.9,0.7,1.4,1.3,0.8,0.6,24.6
West Melbourne, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np ,0
Albert Park,0.1,0.1,0.4,0.1,0.5,0.5,1,1.2,0.3,0.6,0.9,0.4,2.2,1.6,0.6,1,1.3,0.4,0.4,13.8
Elwood,0.1,0,0.5,0.1,0.6,0.6,1.1,1.3,0.2,0.6,0.8,0.4,1.9,1.8,0.7,1.4,1.5,0.5,0.4,14.9
Port Melbourne,0,0,0.6,0.1,0.6,0.7,0.9,0.9,0.4,0.4,1,0.3,1.9,1.3,0.6,0.8,1.1,0.4,0.4,12.9
Port Melbourne Industrial,0, np ,0.1,0,0.1,0.1,0.1,0.2,0,0,0.1,0,0.2,0.3,0,0.1,0.1,0,0,1.4
South Melbourne,0.1,0,0.4,0.1,0.4,0.4,0.7,1.1,0.3,0.4,0.7,0.3,1.9,1.3,0.5,0.8,0.9,0.3,0.4,11.1
St Kilda,0.9,0.1,0.9,0.2,1.4,1.1,2,4.4,0.6,1.1,1.6,0.7,4,6,1.1,2.1,2.6,0.9,0.9,33.3
St Kilda East,0.3,0,0.5,0.1,0.7,0.6,1.3,2,0.3,0.6,0.9,0.4,2.1,2.7,0.8,1.6,1.8,0.5,0.6,18.1
Armadale,0,0,0.3,0,0.3,0.3,0.7,0.6,0.1,0.2,0.6,0.3,1.2,0.8,0.3,0.7,0.9,0.2,0.2,8
Prahran - Windsor,0.2,0.1,0.6,0.2,0.8,0.8,1.7,2.2,0.3,0.7,1.3,0.5,3,2.9,0.7,1.5,2,0.6,0.6,21.1
South Yarra - East,0.2,0.1,0.6,0.1,0.7,0.8,1.7,2.1,0.3,0.7,1.4,0.5,3.7,2.8,0.7,1.6,2,0.6,0.5,21.7
Toorak,0.1,0,0.3,0,0.3,0.4,0.9,0.8,0.1,0.3,0.8,0.3,1.5,0.9,0.3,0.8,1.1,0.2,0.2,9.8
Abbotsford,0.1,0,0.3,0.1,0.3,0.3,0.7,1.1,0.2,0.3,0.5,0.2,1.4,1,0.4,0.8,1,0.3,0.3,9.5
Carlton North - Princes Hill,0,0,0.2,0,0.2,0.2,0.5,0.9,0.1,0.3,0.3,0.1,1.2,0.7,0.4,1.1,0.9,0.2,0.2,7.9
Collingwood,0.1,0,0.3,0.1,0.2,0.3,0.7,1.1,0.1,0.4,0.4,0.1,1.5,1.2,0.5,0.8,1,0.3,0.3,9.5
Fitzroy,0.1,0,0.3,0.1,0.2,0.3,0.7,1.3,0.2,0.4,0.4,0.1,1.6,1.2,0.6,1,1.2,0.3,0.3,10.4
Fitzroy North,0,0,0.4,0.1,0.3,0.3,0.8,1.1,0.1,0.4,0.5,0.1,1.7,1.1,0.7,1.5,1.5,0.4,0.4,11.8
Richmond (Vic.),0.2,0.1,1,0.2,1.3,1.1,2.3,2.9,0.5,1.2,2,0.6,4.6,3.6,1.5,2.4,3.4,1,0.8,31.3
Yarra - North,0,0,0.2,0.1,0.2,0.3,0.5,0.6,0.1,0.3,0.4,0.1,1.2,0.7,0.5,1.2,1.2,0.3,0.2,8.2
Ashburton (Vic.),0,0,0.2,0,0.2,0.2,0.5,0.4,0.1,0.1,0.4,0.1,0.8,0.4,0.2,0.6,0.7,0.2,0.1,5.5
Balwyn,0,0,0.4,0.1,0.4,0.5,1.1,0.8,0.1,0.2,0.6,0.3,1.4,0.8,0.4,1.2,1.6,0.3,0.3,11
Balwyn North,0,0,0.5,0.1,0.5,0.7,1.5,1,0.3,0.3,0.9,0.3,1.7,1,0.5,1.5,1.8,0.4,0.4,13.9
Camberwell,0,0,0.5,0.1,0.5,0.7,1.4,1.1,0.2,0.4,1,0.3,2.2,1.2,0.6,1.8,2,0.4,0.4,15.7
Glen Iris - East,0,0,0.5,0.1,0.4,0.6,1.2,0.9,0.2,0.3,0.9,0.3,1.8,1,0.6,1.4,1.7,0.3,0.3,12.8
Hawthorn,0.1,0,0.6,0.1,0.6,0.6,1.7,1.9,0.3,0.6,1.3,0.4,2.8,1.9,0.9,2.2,2.4,0.6,0.5,19.9
Hawthorn East,0.1,0,0.4,0.1,0.4,0.5,1.2,1.2,0.2,0.4,0.9,0.3,1.9,1.2,0.6,1.5,1.5,0.3,0.3,13.2
Kew,0.1,0,0.6,0.1,0.6,0.7,1.6,1.6,0.3,0.5,1.1,0.5,2.4,1.6,0.8,2.1,2.9,0.5,0.5,18.9
Kew East,0,0,0.2,0,0.2,0.2,0.4,0.4,0.1,0.1,0.3,0.1,0.6,0.4,0.2,0.6,0.8,0.1,0.1,4.9
Surrey Hills (West) - Canterbury,0,0,0.4,0.1,0.4,0.5,1.1,0.8,0.2,0.3,0.9,0.2,1.5,0.8,0.5,1.3,1.6,0.3,0.3,11.6
Bulleen,0,0,0.4,0,0.4,0.4,0.9,0.6,0.2,0.1,0.5,0.2,0.7,0.6,0.3,0.7,0.9,0.2,0.3,7.5
Doncaster,0,0,0.6,0.1,0.6,0.9,1.9,1.6,0.3,0.3,1,0.4,1.6,1.4,0.6,1.4,2,0.3,0.5,15.9
Templestowe,0,0,0.5,0.1,0.6,0.6,1.3,0.7,0.2,0.2,0.6,0.3,1.2,0.8,0.4,1,1.4,0.2,0.3,10.8
Templestowe Lower,0,0,0.4,0,0.4,0.4,1,0.5,0.2,0.2,0.5,0.2,0.9,0.7,0.4,0.9,1.1,0.2,0.3,8.7
Doncaster East (North),0,0,0.4,0.1,0.5,0.6,1.2,0.7,0.2,0.2,0.6,0.2,1,0.8,0.4,0.9,1.4,0.2,0.3,10.1
Doncaster East (South),0,0,0.4,0,0.4,0.5,1.1,0.8,0.2,0.2,0.6,0.2,0.9,0.7,0.4,0.7,1.2,0.2,0.3,9.4
Blackburn,0.1,0,0.7,0.1,0.7,0.7,1.5,1.2,0.3,0.4,1,0.3,1.9,1.4,0.9,1.8,2.2,0.4,0.6,16.3
Blackburn South,0,0,0.3,0,0.3,0.4,0.8,0.5,0.1,0.1,0.5,0.1,0.7,0.6,0.4,0.8,0.9,0.2,0.2,7.4
Box Hill,0,0,0.6,0.1,0.5,0.7,1.7,2.4,0.3,0.3,0.8,0.3,1.6,1.7,0.6,1.6,2,0.3,0.6,16.5
Box Hill North,0,0,0.5,0.1,0.5,0.6,1.2,1.2,0.2,0.3,0.8,0.3,1.3,1.2,0.6,1.4,1.9,0.2,0.5,12.9
Burwood,0,0,0.4,0,0.3,0.4,1.1,1.3,0.1,0.2,0.4,0.2,0.8,1.2,0.3,1,1.1,0.2,0.3,9.6
Burwood East,0,0,0.3,0,0.3,0.4,0.9,0.7,0.2,0.1,0.4,0.2,0.7,0.8,0.2,0.7,0.9,0.1,0.3,7.4
Surrey Hills (East) - Mont Albert,0,0,0.3,0.1,0.3,0.4,0.6,0.5,0.1,0.2,0.5,0.2,1,0.6,0.4,1,1.1,0.2,0.2,7.7
Beaumaris,0,0,0.5,0.1,0.5,0.5,0.9,0.6,0.2,0.2,0.6,0.2,1.2,0.7,0.4,1.1,1,0.3,0.2,9.6
