 Area,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Total,Lga
Alfredton,0.1,0.1,0.7,0.1,0.7,0.3,1.2,1,0.3,0.2,0.4,0.2,0.6,0.6,0.7,1.2,1.9,0.2,0.2,10.8,Ballarat
Ballarat,0.1,0,0.4,0.1,0.4,0.2,0.8,0.9,0.2,0.1,0.3,0.1,0.6,0.6,0.6,1.3,1.7,0.2,0.2,9.1,Ballarat
Ballarat - North,0.2,0.1,1,0.1,1.1,0.4,1.7,1.4,0.4,0.3,0.5,0.2,0.9,1.1,1.1,2.2,2.8,0.4,0.4,16.8,Ballarat
Ballarat - South,0.2,0.1,1,0.1,1.1,0.4,2,1.7,0.4,0.2,0.5,0.2,0.9,1.3,1,1.6,2.8,0.4,0.5,16.7,Ballarat
Buninyong,0.1,0,0.3,0,0.3,0.1,0.5,0.4,0.1,0.1,0.2,0.1,0.4,0.3,0.3,0.8,0.8,0.1,0.1,5,Ballarat
Delacombe,0.1,0.1,0.5,0.1,0.5,0.2,0.8,0.5,0.2,0.1,0.2,0.1,0.3,0.5,0.4,0.5,1.1,0.1,0.2,6.6,Ballarat
Smythes Creek,0.1,0,0.3,0,0.3,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.2,0.3,0.5,0.1,0.1,3,Ballarat
Wendouree - Miners Rest,0.2,0,0.8,0.1,0.7,0.3,1.1,0.8,0.4,0.1,0.3,0.1,0.4,0.7,0.6,0.7,1.4,0.3,0.3,9.4,Ballarat
Bacchus Marsh Region,0.1,0,0.2,0,0.5,0.2,0.3,0.3,0.3,0,0.2,0.1,0.2,0.3,0.4,0.3,0.5,0.1,0.2,4.4,Moorabool
Creswick - Clunes,0.3,0,0.3,0,0.3,0.2,0.4,0.4,0.2,0.1,0.2,0.1,0.2,0.3,0.3,0.5,0.8,0.2,0.2,5,Hepburn
Daylesford,0.2,0,0.3,0,0.3,0.2,0.5,0.9,0.2,0.1,0.2,0.1,0.3,0.4,0.5,0.6,0.8,0.1,0.1,5.9,Hepburn
Gordon (Vic.),0.3,0,0.2,0,0.4,0.1,0.3,0.2,0.2,0,0.1,0.1,0.3,0.3,0.3,0.4,0.5,0.1,0.1,4.2,Pyrenees
Avoca,0.3,0,0.2,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0.1,0.2,0.1,0.3,0,0,1.9,Pyrenees
Beaufort,0.3,0,0.2,0,0.2,0.1,0.2,0.2,0.1,0,0.1,0,0.1,0.2,0.2,0.2,0.3,0.1,0.1,2.7,Pyrenees
Golden Plains - North,0.2,0,0.2,0,0.3,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.2,0.2,0.4,0.1,0.1,3.1,Golden Plains
Maryborough (Vic.),0.1,0,0.6,0,0.2,0.1,0.5,0.3,0.2,0,0.1,0,0.1,0.2,0.3,0.4,0.6,0.1,0.1,4,Central Goldfields
Maryborough Region,0.3,0,0.3,0,0.1,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.2,0.2,0.4,0.1,0.1,2.8,Central Goldfields
Bendigo,0.1,0.1,0.9,0.1,0.5,0.2,1,1.1,0.3,0.1,0.4,0.1,0.4,0.9,0.6,0.9,2,0.2,0.3,10.2,Greater Bendigo
California Gully - Eaglehawk,0.1,0.1,0.9,0.1,0.6,0.2,0.8,0.7,0.3,0.1,0.3,0.1,0.2,0.7,0.4,0.6,1.4,0.2,0.3,8.2,Greater Bendigo
East Bendigo - Kennington,0.1,0.1,0.6,0.1,0.5,0.2,0.9,0.9,0.2,0.1,0.5,0.1,0.4,0.6,0.6,1,1.6,0.2,0.2,9.4,Greater Bendigo
Flora Hill - Spring Gully,0.1,0.1,0.4,0.1,0.4,0.1,0.7,0.7,0.1,0.1,0.3,0.1,0.3,0.5,0.5,0.8,1.2,0.2,0.2,6.8,Greater Bendigo
Kangaroo Flat - Golden Square,0.2,0.2,1.5,0.1,0.9,0.3,1.5,1.1,0.4,0.1,0.6,0.1,0.5,1.1,0.8,1,2,0.2,0.4,13.4,Greater Bendigo
Maiden Gully,0.1,0.1,0.3,0,0.3,0.1,0.5,0.3,0.1,0,0.2,0,0.2,0.3,0.3,0.4,0.6,0.1,0.1,4,Greater Bendigo
Strathfieldsaye,0.1,0.1,0.4,0.1,0.5,0.2,0.7,0.6,0.2,0.1,0.5,0.1,0.3,0.4,0.5,0.9,1.2,0.2,0.2,7.2,Greater Bendigo
White Hills - Ascot,0.2,0.3,0.9,0.1,0.7,0.3,1,0.9,0.3,0.1,0.4,0.1,0.3,0.7,0.5,0.7,1.6,0.2,0.3,9.8,Greater Bendigo
Bendigo Region - South,0.2,0.1,0.5,0.1,0.5,0.1,0.6,0.4,0.2,0,0.2,0.1,0.2,0.4,0.4,0.5,0.8,0.1,0.2,5.7,Greater Bendigo
Castlemaine,0.1,0,0.7,0,0.2,0.1,0.6,0.5,0.2,0.1,0.2,0.1,0.3,0.4,0.5,0.8,1,0.2,0.2,6.4,Mount Alexander
Castlemaine Region,0.3,0.1,0.5,0,0.3,0.1,0.5,0.3,0.2,0.1,0.2,0.1,0.3,0.3,0.4,0.5,0.9,0.1,0.2,5.5,Mount Alexander
Heathcote,0.1,0.1,0.2,0,0.2,0.1,0.3,0.1,0.1,0,0.1,0,0.1,0.2,0.2,0.2,0.4,0,0.1,2.7,Greater Bendigo
Kyneton,0.2,0,0.4,0,0.4,0.2,0.6,0.5,0.3,0.1,0.3,0.1,0.4,0.8,0.5,0.7,0.9,0.2,0.2,7,Macedon Ranges
Woodend,0.1,0,0.3,0.1,0.3,0.2,0.4,0.3,0.2,0.1,0.2,0.1,0.5,0.3,0.4,0.6,0.7,0.1,0.1,5.1,Macedon Ranges
Bendigo Region - North,0.2,0.1,0.3,0,0.2,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.1,0.2,0.4,0.1,0.1,3,Greater Geelong
Loddon,0.6,0,0.4,0,0.2,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.3,0.3,0.5,0.1,0.1,3.8,Loddon
Bannockburn,0.1,0,0.3,0.1,0.5,0.2,0.6,0.3,0.2,0,0.2,0.1,0.3,0.4,0.3,0.4,0.7,0.1,0.2,5.2,Golden Plains
Golden Plains - South,0.4,0,0.3,0.1,0.5,0.3,0.4,0.3,0.2,0,0.2,0.1,0.3,0.4,0.4,0.4,0.7,0.1,0.2,5.5,Golden Plains
Winchelsea,0.3,0,0.2,0,0.4,0.2,0.4,0.4,0.2,0,0.1,0.1,0.3,0.3,0.2,0.4,0.5,0.1,0.1,4.4,Golden Plains
Belmont,0.1,0,0.5,0.1,0.7,0.3,1.2,1.1,0.3,0.1,0.5,0.2,0.6,1.1,0.6,1.3,1.6,0.3,0.4,11,Greater Geelong
Corio - Norlane,0.2,0.1,1.5,0.2,1.2,0.7,2,1.4,0.9,0.1,0.7,0.2,0.5,2.1,0.8,0.8,2,0.2,0.6,16.3,Greater Geelong
Geelong,0.1,0,0.5,0.1,0.6,0.3,1.1,1.2,0.2,0.1,0.5,0.2,0.7,1,0.6,1,1.8,0.2,0.3,10.8,Greater Geelong
Geelong West - Hamlyn Heights,0.1,0,0.8,0.2,1.1,0.5,1.6,1.5,0.5,0.2,0.8,0.3,1,1.5,1,1.8,2.4,0.3,0.5,16.3,Greater Geelong
Grovedale,0.1,0.1,1.1,0.2,1.8,0.7,2.8,2.2,0.6,0.2,1,0.4,1.1,2.2,1.3,2.4,4,0.5,0.7,23.9,Greater Geelong
Highton,0.1,0.1,0.7,0.1,1,0.6,1.9,1.5,0.3,0.2,0.8,0.3,1.2,1.5,0.9,2.5,2.5,0.4,0.4,17.3,Greater Geelong
Lara,0.2,0.1,0.9,0.2,1.1,0.6,1.4,0.9,0.8,0.1,0.7,0.3,0.8,1.3,1,1,1.6,0.2,0.4,13.8,Greater Geelong
Leopold,0.1,0,0.5,0.1,0.7,0.4,1.1,0.7,0.3,0.1,0.5,0.1,0.4,0.7,0.6,0.7,1.5,0.2,0.3,9,Greater Geelong
Newcomb - Moolap,0.1,0,0.7,0.1,0.8,0.3,1.2,0.9,0.4,0.1,0.4,0.1,0.4,1.1,0.6,0.6,1.6,0.2,0.4,10.3,Greater Geelong
Newtown (Vic.),0.1,0,0.3,0.1,0.4,0.2,0.8,0.7,0.2,0.1,0.4,0.1,0.6,0.6,0.4,1.1,1.3,0.2,0.2,8,Greater Geelong
North Geelong - Bell Park,0.1,0,0.7,0.1,0.8,0.4,1.2,1,0.4,0.1,0.5,0.2,0.6,1.2,0.6,0.8,1.5,0.2,0.3,10.8,Greater Geelong
Clifton Springs,0.1,0,0.6,0.1,0.9,0.3,1.2,1,0.4,0.1,0.5,0.2,0.5,0.9,0.7,0.8,1.6,0.2,0.3,10.5,Greater Geelong
Lorne - Anglesea,0.1,0,0.1,0,0.2,0.1,0.4,0.7,0.1,0,0.1,0.1,0.2,0.3,0.2,0.5,0.4,0.1,0.1,3.8,Surf Coast
Ocean Grove - Barwon Heads,0.2,0.1,0.8,0.1,1.5,0.5,2,2,0.5,0.2,0.9,0.3,1.2,1.4,1.4,2.5,3.1,0.5,0.5,20.2,Greater Geelong
Portarlington,0.1,0,0.2,0,0.4,0.2,0.4,0.4,0.2,0,0.3,0.1,0.2,0.4,0.3,0.4,0.6,0.1,0.2,4.7,Greater Geelong
Point Lonsdale - Queenscliff,0,0,0.1,0,0.2,0,0.2,0.3,0.1,0,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.1,0.1,2.8,Borough of Queenscliffe
Torquay,0.1,0,0.6,0.1,1.3,0.7,1.6,1.6,0.3,0.2,0.7,0.3,1,1,1.1,2,2.1,0.4,0.5,16.2,Surf Coast
Alexandra,0.2,0,0.2,0,0.3,0.1,0.4,0.5,0.1,0,0.1,0.1,0.1,0.2,0.3,0.5,0.5,0.1,0.1,4.1,Murrindindi
Euroa,0.6,0,0.2,0,0.2,0.1,0.3,0.3,0.2,0,0.1,0,0.2,0.3,0.3,0.3,0.5,0.1,0.1,4,Strathbogie
Kilmore - Broadford,0.1,0.1,0.9,0.1,1.2,0.4,0.9,0.7,0.5,0.1,0.4,0.2,0.5,0.8,0.8,0.7,1.2,0.1,0.3,10.1,Mitchell
Mansfield (Vic.),0.4,0.1,0.2,0,0.4,0.2,0.7,0.7,0.4,0,0.2,0.2,0.2,0.4,0.3,0.6,0.6,0.2,0.2,6.4,Mansfield
Nagambie,0.3,0,0.3,0,0.2,0.1,0.2,0.2,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.1,0,2.9,Strathbogie
Seymour,0.2,0,0.3,0.1,0.3,0.2,0.4,0.4,0.2,0,0.1,0.1,0.1,0.3,0.4,0.3,0.5,0.1,0.1,4.1,Mitchell
Seymour Region,0.2,0,0.2,0,0.2,0.1,0.2,0.2,0.1,0,0.1,0,0.1,0.2,0.6,0.2,0.3,0,0.1,2.9,Mitchell
Upper Yarra Valley,0,0,0,0,0,0,0,0, np , np ,0, np ,0,0,0,0,0,0,0,0.1,Yarra Ranges
Yea,0.1,0,0.1,0,0.2,0.1,0.2,0.2,0.1,0,0.1,0,0.1,0.1,0.2,0.2,0.3,0,0.1,2.2,Murrindindi
Benalla,0.2,0.2,0.7,0.1,0.5,0.2,0.6,0.6,0.2,0,0.2,0.1,0.2,0.4,0.5,0.5,1.1,0.1,0.2,6.6,Benalla Rural
Benalla Region,0.2,0.1,0.2,0,0.1,0.1,0.2,0.1,0.1,0,0.1,0,0.1,0.1,0.2,0.2,0.3,0.1,0.1,2.4,Benalla Rural
Rutherglen,0.2,0,0.5,0,0.1,0.1,0.3,0.3,0.2,0,0.1,0,0.1,0.1,0.2,0.2,0.3,0,0.1,2.7,Indigo
Wangaratta,0.3,0.1,1.1,0.1,0.8,0.4,1.5,1.3,0.5,0.1,0.4,0.2,0.4,0.9,0.8,1.2,2.3,0.3,0.4,13.2,Rural Wangaratta
Wangaratta Region,0.6,0.1,0.7,0,0.5,0.2,0.5,0.5,0.3,0,0.2,0.1,0.3,0.4,0.5,0.6,1,0.1,0.2,6.9,Rural Wangaratta
Beechworth,0.1,0,0.2,0,0.1,0.1,0.3,0.3,0.1,0,0.1,0,0.1,0.2,0.3,0.4,0.6,0.1,0.1,3.3,Indigo
Bright - Mount Beauty,0.3,0,0.2,0.1,0.4,0.1,0.4,1.1,0.4,0,0.2,0.2,0.3,0.3,0.3,0.6,0.6,0.3,0.1,6.2,Alpine
Chiltern - Indigo Valley,0.1,0,0.3,0,0.1,0.1,0.2,0.2,0.1,0,0.1,0,0.1,0.1,0.2,0.2,0.3,0,0.1,2.3,Indigo
Myrtleford,0.4,0,0.4,0,0.2,0.1,0.4,0.4,0.2,0,0.1,0.1,0.1,0.1,0.2,0.2,0.5,0.1,0.1,3.6,Alpine
Towong,0.4,0,0.2,0.1,0.3,0.1,0.3,0.2,0.2,0,0.1,0,0.2,0.2,0.3,0.4,0.6,0.1,0.1,3.8,Towong
West Wodonga,0.1,0,0.9,0.1,0.7,0.4,1.3,1,0.5,0.1,0.4,0.1,0.4,0.7,0.9,0.9,1.6,0.1,0.3,10.8,Wodonga
Wodonga,0.3,0.1,1.5,0.2,1.3,0.6,2.2,1.6,0.8,0.1,0.8,0.2,0.8,1.2,1.9,1.7,2.8,0.3,0.6,19.2,Wodonga
Yackandandah,0.1,0,0.3,0,0.3,0.1,0.3,0.3,0.1,0,0.1,0,0.2,0.2,0.3,0.4,0.5,0.1,0.1,3.5,Indigo
Drouin,0.4,0.1,0.9,0.1,1.2,0.5,1.1,0.8,0.4,0.1,0.5,0.2,0.5,0.8,0.6,1.1,1.6,0.3,0.5,11.9,Baw Baw
Mount Baw Baw Region,0.3,0.1,0.3,0.1,0.3,0.1,0.3,0.3,0.1,0,0.2,0.1,0.2,0.2,0.3,0.4,0.5,0.1,0.1,4.1,Baw Baw
Trafalgar (Vic.),0.3,0.1,0.3,0.1,0.5,0.2,0.4,0.3,0.2,0,0.2,0.1,0.3,0.4,0.3,0.5,0.7,0.1,0.2,5.3,Baw Baw
Warragul,0.7,0.1,1,0.2,1.3,0.6,1.3,1,0.4,0.2,0.6,0.2,0.7,0.8,0.8,1.6,2.1,0.3,0.6,14.8,Baw Baw
Alps - East, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np ,Alpine
Bairnsdale,0.3,0,0.8,0.1,0.6,0.3,1.3,0.7,0.3,0.1,0.3,0.2,0.3,0.6,0.5,0.8,1.5,0.1,0.4,9.5,East Gippsland
Bruthen - Omeo,0.6,0.1,0.4,0.1,0.4,0.2,0.5,0.3,0.2,0,0.1,0.1,0.2,0.4,0.4,0.4,0.7,0.1,0.1,5.5,East Gippsland
Lake King, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np ,East Gippsland
Lakes Entrance,0.3,0,0.3,0.1,0.4,0.1,0.6,0.9,0.2,0,0.2,0.1,0.2,0.3,0.4,0.5,1,0.1,0.2,6,East Gippsland
Orbost,0.4,0,0.2,0,0.2,0.1,0.3,0.4,0.2,0,0.1,0,0.1,0.2,0.3,0.4,0.6,0.1,0.1,3.8,East Gippsland
Paynesville,0.1,0,0.2,0,0.2,0.1,0.4,0.3,0.1,0,0.1,0.1,0.2,0.2,0.2,0.4,0.6,0.1,0.1,3.6,East Gippsland
Foster,0.6,0,0.2,0.1,0.3,0.2,0.4,0.4,0.2,0,0.2,0.1,0.2,0.3,0.2,0.5,0.6,0.1,0.1,4.9,South Gippsland
French Island, np , np , np , np , np , np ,0, np ,0, np , np , np ,0, np , np , np ,0, np , np ,0,Bass Coast
Korumburra,0.3,0,0.7,0,0.4,0.3,0.5,0.4,0.2,0,0.2,0.1,0.3,0.4,0.3,0.5,0.8,0.1,0.2,6,South Gippsland
Leongatha,0.3,0.1,0.4,0.1,0.5,0.3,0.6,0.5,0.2,0.1,0.3,0.1,0.3,0.5,0.4,0.7,1,0.1,0.2,6.8,South Gippsland
Phillip Island,0.1,0,0.2,0.1,0.5,0.2,0.7,1.3,0.3,0.1,0.3,0.3,0.3,0.4,0.3,0.7,0.8,0.5,0.2,7.4,Bass Coast
Wilsons Promontory, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np ,0, np ,0,South Gippsland
Wonthaggi - Inverloch,0.3,0.1,0.7,0.3,1.1,0.5,1.6,1.3,0.4,0.1,0.5,0.3,0.6,0.8,0.7,1.3,2.2,0.4,0.5,14.1,Bass Coast
Churchill,0.2,0.1,0.5,0.3,0.6,0.1,0.7,0.5,0.2,0.1,0.3,0.1,0.4,0.6,0.6,0.8,1.1,0.1,0.2,7.7,Latrobe
Moe - Newborough,0.3,0.1,0.7,0.3,0.9,0.2,1,0.6,0.3,0.1,0.5,0.1,0.4,1,0.7,0.7,1.5,0.1,0.3,10.2,Latrobe
Morwell,0.1,0.1,0.5,0.2,0.5,0.2,0.9,0.7,0.2,0.1,0.4,0.1,0.3,0.8,0.5,0.4,1.1,0.1,0.3,7.7,Latrobe
Traralgon,0.3,0.3,1.4,0.6,1.7,0.4,2,1.3,0.4,0.2,0.8,0.4,1,1.4,1.7,1.5,3,0.3,0.6,19.8,Latrobe
Yallourn North - Glengarry,0.2,0.1,0.3,0.1,0.3,0.1,0.3,0.2,0.1,0,0.1,0.1,0.1,0.3,0.3,0.2,0.5,0,0.1,3.4,Latrobe
Alps - West, np , np , np , np , np , np , np , np , np , np , np , np , np ,0, np , np , np , np , np ,0,Baw Baw
Longford - Loch Sport,0.2,0.1,0.1,0,0.2,0.1,0.2,0.2,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0,0.1,2.6,Wellington
Maffra,0.8,0.2,0.7,0.2,0.8,0.2,0.9,0.6,0.3,0,0.3,0.2,0.4,0.7,0.5,0.9,1.2,0.2,0.2,9.5,Wellington
Rosedale,0.4,0.1,0.2,0,0.2,0.1,0.2,0.2,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0,0.1,2.7,Wellington
Sale,0.4,0.3,0.5,0.1,0.6,0.1,1.1,0.9,0.2,0.1,0.3,0.2,0.4,0.8,0.9,1,1.4,0.1,0.2,9.8,Wellington
Yarram,0.4,0.1,0.2,0,0.2,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.1,0.3,0.4,0,0.1,3.1,Wellington
Brunswick,0.2,0,0.8,0.2,0.8,0.7,2,3.2,0.4,1,1.2,0.4,3.3,3,1.6,3.6,3,0.9,0.9,27.5,Moreland
Brunswick East,0.1,0,0.4,0.1,0.3,0.4,0.9,1.5,0.2,0.5,0.6,0.2,1.7,1.3,0.8,1.7,1.4,0.4,0.4,13.1,Moreland
Brunswick West,0.1,0,0.4,0.1,0.4,0.4,1.1,1.3,0.3,0.4,0.6,0.2,1.4,1.5,0.7,1.8,1.7,0.4,0.4,13.5,Moreland
Coburg,0.1,0,0.8,0.1,0.9,0.7,1.9,2.2,0.5,0.7,1,0.3,2.3,2.3,1.4,2.9,2.7,0.6,0.7,22.7,Moreland
Pascoe Vale South,0,0,0.3,0,0.4,0.3,0.8,0.6,0.3,0.2,0.5,0.1,0.8,0.7,0.5,0.9,0.9,0.3,0.2,8.1,Moreland
Alphington - Fairfield,0,0,0.3,0.1,0.3,0.3,0.5,0.6,0.1,0.2,0.4,0.1,0.9,0.7,0.5,1,1.1,0.3,0.2,7.8,Darebin
Northcote,0.1,0,0.7,0.2,0.7,0.6,1.5,1.7,0.3,0.8,1,0.3,2.9,2,1.6,3.1,3.1,0.7,0.7,22.4,Darebin
Thornbury,0.1,0,0.6,0.1,0.6,0.5,1.3,1.4,0.4,0.6,0.7,0.3,1.8,1.6,1,2.1,2.2,0.5,0.5,16.4,Darebin
Ascot Vale,0.1,0,0.5,0.1,0.5,0.4,1,1.1,0.4,0.3,0.7,0.2,1.4,1.4,0.8,1.3,1.5,0.5,0.4,12.7,Moonee Valley
Essendon - Aberfeldie,0.1,0,0.9,0.1,1.2,0.9,2.2,2,0.9,0.5,1.4,0.5,2.6,2.3,1.5,2.2,2.6,0.9,0.6,24,Moonee Valley
Flemington,0.1,0,0.2,0.1,0.2,0.2,0.6,1,0.2,0.2,0.4,0.1,1.1,1.2,0.5,0.9,1,0.3,0.2,8.8,Moonee Valley
Moonee Ponds,0.1,0,0.4,0.1,0.6,0.4,1.2,1.2,0.4,0.3,0.8,0.3,1.6,1.3,0.9,1.3,1.5,0.4,0.4,13.5,Moonee Valley
Carlton,0.1,0,0.3,0.1,0.3,0.3,1,2.6,0.2,0.4,0.5,0.3,1.9,1.7,0.5,1.9,1.4,0.3,0.4,14.4,Melbourne
Docklands,0.2,0,0.4,0.1,0.4,0.6,0.9,2.4,0.3,0.4,1.2,0.3,3.8,1.9,0.4,0.6,0.7,0.2,0.3,15.6,Melbourne
East Melbourne,0.1,0,0.1,0,0.1,0.1,0.3,0.4,0.1,0.1,0.3,0.1,0.8,0.5,0.3,0.5,0.6,0.1,0.1,4.7,Melbourne
Flemington Racecourse, np , np ,0, np , np , np ,0,0, np , np ,0,0,0,0,0,0,0,0, np ,0.1,Melbourne
Kensington (Vic.),0.1,0,0.3,0.1,0.3,0.3,0.7,1,0.2,0.3,0.6,0.1,1.4,1.1,0.6,1.2,1.2,0.4,0.3,10.4,Melbourne
Melbourne,1.2,0.1,0.9,0.2,0.8,1.2,3.2,13.7,0.6,0.8,1.9,1,5.9,5.9,0.7,2.3,1.9,0.8,1.2,45.2,Melbourne
North Melbourne,0.3,0,0.5,0.2,0.5,0.6,1.6,3.7,0.4,0.6,1,0.3,3.1,2.9,0.9,2.2,2.3,0.5,0.6,22.6,Melbourne
Parkville,0,0,0.1,0,0.1,0.1,0.4,0.8,0.1,0.1,0.3,0.1,0.7,0.6,0.3,1.1,0.7,0.2,0.2,6.1,Melbourne
South Yarra - West,0.1,0,0.2,0,0.2,0.2,0.4,0.7,0.1,0.4,0.5,0.2,1,0.7,0.3,0.5,0.7,0.2,0.1,6.6,Melbourne
Southbank,0.3,0.1,0.6,0.2,0.6,0.8,1.6,4.3,0.4,0.6,1.5,0.5,3.8,3.9,0.7,1.4,1.3,0.8,0.6,24.6,Melbourne
West Melbourne, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np ,0,Port Phillip
Albert Park,0.1,0.1,0.4,0.1,0.5,0.5,1,1.2,0.3,0.6,0.9,0.4,2.2,1.6,0.6,1,1.3,0.4,0.4,13.8,Port Phillip
Elwood,0.1,0,0.5,0.1,0.6,0.6,1.1,1.3,0.2,0.6,0.8,0.4,1.9,1.8,0.7,1.4,1.5,0.5,0.4,14.9,Port Phillip
Port Melbourne,0,0,0.6,0.1,0.6,0.7,0.9,0.9,0.4,0.4,1,0.3,1.9,1.3,0.6,0.8,1.1,0.4,0.4,12.9,Port Phillip
Port Melbourne Industrial,0, np ,0.1,0,0.1,0.1,0.1,0.2,0,0,0.1,0,0.2,0.3,0,0.1,0.1,0,0,1.4,Port Phillip
South Melbourne,0.1,0,0.4,0.1,0.4,0.4,0.7,1.1,0.3,0.4,0.7,0.3,1.9,1.3,0.5,0.8,0.9,0.3,0.4,11.1,Port Phillip
St Kilda,0.9,0.1,0.9,0.2,1.4,1.1,2,4.4,0.6,1.1,1.6,0.7,4,6,1.1,2.1,2.6,0.9,0.9,33.3,Stonnington
St Kilda East,0.3,0,0.5,0.1,0.7,0.6,1.3,2,0.3,0.6,0.9,0.4,2.1,2.7,0.8,1.6,1.8,0.5,0.6,18.1,Stonnington
Armadale,0,0,0.3,0,0.3,0.3,0.7,0.6,0.1,0.2,0.6,0.3,1.2,0.8,0.3,0.7,0.9,0.2,0.2,8,Stonnington
Prahran - Windsor,0.2,0.1,0.6,0.2,0.8,0.8,1.7,2.2,0.3,0.7,1.3,0.5,3,2.9,0.7,1.5,2,0.6,0.6,21.1,Stonnington
South Yarra - East,0.2,0.1,0.6,0.1,0.7,0.8,1.7,2.1,0.3,0.7,1.4,0.5,3.7,2.8,0.7,1.6,2,0.6,0.5,21.7,Yarra
Toorak,0.1,0,0.3,0,0.3,0.4,0.9,0.8,0.1,0.3,0.8,0.3,1.5,0.9,0.3,0.8,1.1,0.2,0.2,9.8,Yarra
Abbotsford,0.1,0,0.3,0.1,0.3,0.3,0.7,1.1,0.2,0.3,0.5,0.2,1.4,1,0.4,0.8,1,0.3,0.3,9.5,Yarra
Carlton North - Princes Hill,0,0,0.2,0,0.2,0.2,0.5,0.9,0.1,0.3,0.3,0.1,1.2,0.7,0.4,1.1,0.9,0.2,0.2,7.9,Yarra
Collingwood,0.1,0,0.3,0.1,0.2,0.3,0.7,1.1,0.1,0.4,0.4,0.1,1.5,1.2,0.5,0.8,1,0.3,0.3,9.5,Yarra
Fitzroy,0.1,0,0.3,0.1,0.2,0.3,0.7,1.3,0.2,0.4,0.4,0.1,1.6,1.2,0.6,1,1.2,0.3,0.3,10.4,Yarra
Fitzroy North,0,0,0.4,0.1,0.3,0.3,0.8,1.1,0.1,0.4,0.5,0.1,1.7,1.1,0.7,1.5,1.5,0.4,0.4,11.8,Yarra
Richmond (Vic.),0.2,0.1,1,0.2,1.3,1.1,2.3,2.9,0.5,1.2,2,0.6,4.6,3.6,1.5,2.4,3.4,1,0.8,31.3,Boroondara
Yarra - North,0,0,0.2,0.1,0.2,0.3,0.5,0.6,0.1,0.3,0.4,0.1,1.2,0.7,0.5,1.2,1.2,0.3,0.2,8.2,Boroondara
Ashburton (Vic.),0,0,0.2,0,0.2,0.2,0.5,0.4,0.1,0.1,0.4,0.1,0.8,0.4,0.2,0.6,0.7,0.2,0.1,5.5,Boroondara
Balwyn,0,0,0.4,0.1,0.4,0.5,1.1,0.8,0.1,0.2,0.6,0.3,1.4,0.8,0.4,1.2,1.6,0.3,0.3,11,Boroondara
Balwyn North,0,0,0.5,0.1,0.5,0.7,1.5,1,0.3,0.3,0.9,0.3,1.7,1,0.5,1.5,1.8,0.4,0.4,13.9,Boroondara
Camberwell,0,0,0.5,0.1,0.5,0.7,1.4,1.1,0.2,0.4,1,0.3,2.2,1.2,0.6,1.8,2,0.4,0.4,15.7,Boroondara
Glen Iris - East,0,0,0.5,0.1,0.4,0.6,1.2,0.9,0.2,0.3,0.9,0.3,1.8,1,0.6,1.4,1.7,0.3,0.3,12.8,Boroondara
Hawthorn,0.1,0,0.6,0.1,0.6,0.6,1.7,1.9,0.3,0.6,1.3,0.4,2.8,1.9,0.9,2.2,2.4,0.6,0.5,19.9,Boroondara
Hawthorn East,0.1,0,0.4,0.1,0.4,0.5,1.2,1.2,0.2,0.4,0.9,0.3,1.9,1.2,0.6,1.5,1.5,0.3,0.3,13.2,Boroondara
Kew,0.1,0,0.6,0.1,0.6,0.7,1.6,1.6,0.3,0.5,1.1,0.5,2.4,1.6,0.8,2.1,2.9,0.5,0.5,18.9,Boroondara
Kew East,0,0,0.2,0,0.2,0.2,0.4,0.4,0.1,0.1,0.3,0.1,0.6,0.4,0.2,0.6,0.8,0.1,0.1,4.9,Boroondara
Surrey Hills (West) - Canterbury,0,0,0.4,0.1,0.4,0.5,1.1,0.8,0.2,0.3,0.9,0.2,1.5,0.8,0.5,1.3,1.6,0.3,0.3,11.6,Boroondara
Bulleen,0,0,0.4,0,0.4,0.4,0.9,0.6,0.2,0.1,0.5,0.2,0.7,0.6,0.3,0.7,0.9,0.2,0.3,7.5,Manningham
