 Area,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Total,Lga
Mount Dandenong - Olinda,0.1,0,0.4,0,0.5,0.3,0.5,0.5,0.2,0.1,0.3,0.1,0.6,0.5,0.4,0.9,0.8,0.2,0.2,6.9,Yarra Ranges
Mount Evelyn,0.1,0,0.6,0,0.9,0.4,0.7,0.4,0.2,0.1,0.2,0.1,0.4,0.5,0.4,0.7,0.9,0.2,0.3,7.2,Yarra Ranges
Upwey - Tecoma,0,0,0.5,0.1,0.6,0.4,0.7,0.4,0.2,0.2,0.3,0.1,0.6,0.6,0.5,1,1,0.2,0.3,7.6,Yarra Ranges
Wandin - Seville,0.3,0,0.5,0,0.8,0.4,0.6,0.3,0.1,0,0.2,0.1,0.3,0.4,0.2,0.4,0.7,0.1,0.3,6,Yarra Ranges
Yarra Valley,0.4,0,0.9,0.1,1.3,0.5,1,0.7,0.3,0.1,0.4,0.2,0.5,0.8,0.4,1,1.4,0.2,0.5,11.2,Yarra Ranges
Beaconsfield - Officer,0.1,0,1.3,0.1,1.4,1,1.8,1.1,0.5,0.2,0.8,0.3,1,1.6,0.7,1.3,2.2,0.4,0.5,16.7,Cardinia
Bunyip - Garfield,0.2,0,0.5,0.1,0.9,0.4,0.6,0.3,0.2,0.1,0.2,0.1,0.4,0.5,0.3,0.5,0.7,0.3,0.3,6.5,Cardinia
Emerald - Cockatoo,0.3,0,1.1,0.1,1.5,0.8,1.3,0.7,0.3,0.2,0.5,0.3,0.8,1,0.5,1.3,1.5,0.3,0.5,13.3,Cardinia
Koo Wee Rup,0.5,0,0.6,0.1,0.7,0.3,0.6,0.3,0.3,0,0.2,0.1,0.2,0.5,0.2,0.3,0.7,0.2,0.2,6.2,Cardinia
Pakenham - North,0.1,0,1.4,0.1,1.4,0.9,1.8,0.9,0.6,0.2,0.5,0.3,0.7,1.6,0.6,0.9,2,0.4,0.6,15.4,Cardinia
