Area,2015-16,2016-17,2017-18,2018-19,2019-20,Lga
South Melbourne,11.4,11.9,12.5,13.1,12.4,Port Phillip
St Kilda,32.6,35.1,36.5,37.9,36.6,Stonnington
St Kilda East,18.4,19.7,20.4,20.9,20,Stonnington
Armadale,8.2,8.6,9,9.3,9,Stonnington
Prahran - Windsor,25.6,24.3,23.9,24.1,23.2,Stonnington
South Yarra - East,22,23.6,24.2,24.7,23.9,Yarra
Toorak,11.7,11.7,11.8,11.8,11.4,Yarra
Abbotsford,9.5,10.5,10.3,10.7,10.5,Yarra
Carlton North - Princes Hill,9.1,9.4,9.4,9.6,9,Yarra
Collingwood,9.1,10,10.1,10.8,10.6,Yarra
Fitzroy,11.5,12,12,12.3,11.7,Yarra
Fitzroy North,12.9,13.6,13.5,14,13.4,Yarra
Richmond (Vic.),32.7,34,34.4,35.4,34.3,Boroondara
Yarra - North,8.9,9.2,9.2,9.6,9.4,Boroondara
Ashburton (Vic.),5.9,6.1,6.2,6.3,6.1,Boroondara
Balwyn,12.3,12.6,12.7,12.7,12.5,Boroondara
Balwyn North,15.5,15.8,15.8,16.1,15.7,Boroondara
Camberwell,17.4,17.7,17.7,17.9,17.7,Boroondara
Glen Iris - East,13.6,14.2,14.3,14.8,14.3,Boroondara
Hawthorn,21.8,22.6,22.9,23.2,22.3,Boroondara
Hawthorn East,13.6,14.2,14.4,15.4,14.7,Boroondara
Kew,21.1,21.8,21.9,22.2,21.6,Boroondara
Kew East,5.3,5.4,5.4,5.6,5.6,Boroondara
Surrey Hills (West) - Canterbury,13.1,13.3,13.3,13.5,13.1,Boroondara
Bulleen,8.1,8.4,8.3,8.6,8.5,Manningham
Doncaster,14.9,15.6,16.4,17.4,18,Manningham
Templestowe,12.4,12.4,12.3,12.6,12.3,Manningham
Templestowe Lower,9.5,9.8,9.9,9.9,9.8,Manningham
Doncaster East (North),10.9,11.1,11.3,11.6,11.4,Manningham
Doncaster East (South),9.5,9.7,9.9,10.4,10.6,Manningham
Blackburn,16.6,17.2,17.6,18.2,18.1,Whitehorse
Blackburn South,7.6,7.7,7.9,8.3,8.2,Whitehorse
Box Hill,15.3,17,17.4,18,18.3,Whitehorse
Box Hill North,13.3,13.7,14.1,14.8,14.5,Whitehorse
Burwood,8.5,9.2,9.7,10.5,10.6,Whitehorse
Burwood East,7.5,7.7,8.1,8.2,8.3,Whitehorse
Surrey Hills (East) - Mont Albert,8.3,8.5,8.6,8.8,8.6,Whitehorse
Beaumaris,10.4,10.7,10.9,11,10.7,Bayside
Brighton (Vic.),18.1,18.5,18.5,18.8,18.1,Bayside
Brighton East,12.1,12.3,12.5,12.7,12.5,Bayside
Cheltenham - Highett (West),8.9,9.5,9.6,10.2,9.9,Bayside
Hampton,13.9,14.2,14.3,14.7,14.7,Bayside
Sandringham - Black Rock,12.8,13.2,13.3,13.9,13.6,Bayside
Bentleigh - McKinnon,17.6,18.4,19,20.3,20.1,Glen Eira
Carnegie,15.1,15.7,16.3,17,17.3,Glen Eira
Caulfield - North,18,18.8,19.7,20.3,19.9,Glen Eira
Caulfield - South,14.7,15.1,15.2,15.4,15.3,Glen Eira
Elsternwick,10.3,10.7,11,11.5,11.2,Glen Eira
Hughesdale,6,6.3,6.3,6.4,6.5,Glen Eira
Murrumbeena,7.9,8.3,8.5,8.8,8.4,Glen Eira
Ormond - Glen Huntly,11.8,12.2,12.6,13.4,13,Glen Eira
Bentleigh East (North),11.3,11.7,11.9,12.5,12.5,Glen Eira
Bentleigh East (South),9.8,10.2,10.5,10.8,10.9,Kingston
Aspendale Gardens - Waterways,7.1,7.3,7.3,7.4,7.2,Kingston
Braeside,0.2,0.2,0.2,0.2,0.1,Kingston
Carrum - Patterson Lakes,9.2,9.6,9.4,9.6,9.5,Kingston
Chelsea - Bonbeach,11,11.5,11.7,12.1,11.8,Kingston
Chelsea Heights,4.1,4.2,4.2,4.3,4.2,Kingston
Cheltenham - Highett (East),17.3,18.3,18.7,19.6,19.4,Kingston
Edithvale - Aspendale,10.3,10.4,10.8,11,11,Kingston
Mentone,10.6,11,11.2,11.3,11.2,Kingston
Moorabbin - Heatherton,7,7.2,7.4,7.6,7.5,Kingston
Moorabbin Airport,np,0,0,0,0,Kingston
Mordialloc - Parkdale,16.2,16.5,17,17.4,17.3,Stonnington
Malvern - Glen Iris,17.4,18,18.4,18.7,18.4,Stonnington
Malvern East,17.3,18,18.3,19,18.9,Banyule
Bundoora - East,7.2,7.3,7.5,7.7,7.7,Banyule
Greensborough,16.4,16.9,16.9,17.1,16.6,Banyule
Heidelberg - Rosanna,11.8,12.2,12.5,12.9,12.6,Banyule
Heidelberg West,10.6,11.2,11.7,12.3,12.4,Banyule
Ivanhoe,9.8,10.5,10.9,11.1,10.8,Banyule
Ivanhoe East - Eaglemont,6.6,6.8,6.8,6.9,6.7,Banyule
Montmorency - Briar Hill,13,13.1,13.2,13.3,12.8,Banyule
Viewbank - Yallambie,13.6,14,13.9,14.4,14,Banyule
Watsonia,6.9,7.1,7.2,7.4,7.1,Banyule
Kingsbury,7.6,8.2,8.7,9.3,9.2,Darebin
Reservoir - East,19.7,21,22.2,23.3,23,Darebin
Reservoir - West,17.4,18.7,19.1,19.6,19.2,Darebin
Preston - East,16.5,18,18.6,19.6,19.1,Darebin
Preston - West,10.3,10.9,11.3,11.7,11.6,Darebin
Eltham,19.8,19.9,19.9,20.1,19.3,Nillumbik
Hurstbridge,3,3.1,3.1,3,3,Nillumbik
Kinglake,3.1,3.2,3.1,3.3,3.3,Nillumbik
Panton Hill - St Andrews,4.3,4.3,4.4,4.4,4.2,Nillumbik
Plenty - Yarrambat,7.7,7.9,7.9,8,7.8,Nillumbik
Research - North Warrandyte,5.5,5.7,5.7,5.7,5.7,Nillumbik
Wattle Glen - Diamond Creek,11.7,12,12.1,12.3,12.2,Nillumbik
Bundoora - North,5.2,5.7,6,6.1,6,Whittlesea
Bundoora - West,4.4,4.8,4.7,4.9,4.9,Whittlesea
Lalor,13.8,14.6,15.5,16,15.9,Whittlesea
Mill Park - North,14.1,14.8,14.8,15.1,14.8,Whittlesea
Mill Park - South,9.3,9.3,9.4,9.5,9,Whittlesea
Thomastown,12.8,13.7,14.1,14.8,14.6,Whittlesea
Wallan,12.4,13.7,14.3,15.5,16.2,Whittlesea
Whittlesea,5.9,6.1,6.2,6.4,6.7,Whittlesea
Doreen,15.5,16.9,18,19.3,20,Whittlesea
Epping - East,9.5,10,10.2,10.3,9.9,Whittlesea
Epping - South,6.1,6.4,6.4,6.5,6.3,Whittlesea
Epping - West,7.9,8.4,8.8,9.1,9,Whittlesea
Mernda,12.3,14.4,15.7,17,17.7,Whittlesea
South Morang (North),9.3,9.8,10.2,10.5,10.3,Whittlesea
South Morang (South),9,9.5,9.6,10,10,Whittlesea
Wollert,6.5,8.3,9.5,11.7,14.5,Whittlesea
Airport West,5.7,6.1,6.2,6.5,6.6,Moonee Valley
Essendon Airport,np,0,0,0,0,Moonee Valley
Keilor,6.6,6.8,6.9,6.8,6.6,Brimbank
Keilor East,18.2,18.8,19,19.7,19.3,Brimbank
Niddrie - Essendon West,5.7,5.9,6,6,6.2,Moonee Valley
Strathmore,7.8,8,8.1,8.4,8.3,Moonee Valley
Gisborne,10,10.4,10.3,10.7,10.7,Macedon Ranges
Macedon,2.6,2.7,2.7,2.7,2.6,Macedon Ranges
Riddells Creek,3.4,3.5,3.5,3.6,3.5,Macedon Ranges
Romsey,7.2,7.5,7.8,8.1,8.2,Macedon Ranges
Coburg North,6.2,6.9,7.1,7.5,7.3,Moreland
Fawkner,8.3,9,9.7,10.2,10.2,Moreland
Pascoe Vale,18.6,20.1,20.7,22.2,22.2,Moreland
Glenroy,16.2,17.7,18.6,20.1,20.7,Moreland
Gowanbrae,2.3,2.4,2.4,2.5,2.4,Moreland
Hadfield,3.5,3.8,4,4.3,4.3,Hume
Sunbury,10.1,10.5,10.7,11.1,10.8,Hume
Sunbury - South,20.7,22,23,24.4,24.5,Hume
Broadmeadows,7.1,8,8.6,9.4,9.5,Hume
Campbellfield - Coolaroo,8,8.5,8.9,9.4,9.1,Hume
Gladstone Park - Westmeadows,13.2,13.4,13.7,13.7,13.4,Hume
Greenvale - Bulla,12.8,14.1,14.7,15.3,15.7,Hume
Meadow Heights,7.5,7.9,8.1,8.5,8.3,Hume
Melbourne Airport,0.1,0.1,0.1,0.1,0.1,Hume
Roxburgh Park - Somerton,12.2,13.2,13.8,14.8,14.8,Hume
